angle,force,duration
124.85,200.0,11
343.42,200.0,8
267.73,200.0,2
212.32,40.0,40
56.07,200.0,7
54.59,200.0,7
21.92,40.0,38
319.49,200.0,8
208.50,40.0,39
253.89,100.0,9
4.21,40.0,39
353.88,200.0,9
308.44,100.0,10
68.39,40.0,37
64.06,200.0,3
67.25,40.0,40
100.81,100.0,15
182.68,100.0,11
153.15,100.0,8
95.34,40.0,35
216.97,100.0,2
45.97,40.0,39
104.24,100.0,12
130.71,40.0,39
161.44,200.0,5
285.74,100.0,7
71.62,200.0,7
181.45,200.0,1
205.19,200.0,3
19.29,40.0,38
208.37,100.0,11
58.96,200.0,7
19.30,100.0,13
339.21,100.0,6
343.77,100.0,13
296.96,100.0,8
102.40,200.0,2
35.25,200.0,5
239.65,100.0,4
150.15,40.0,39
42.39,40.0,38
173.91,200.0,3
9.19,200.0,9
332.26,100.0,6
91.86,200.0,10
236.16,100.0,3
104.33,40.0,38
175.24,200.0,3
193.70,100.0,12
58.21,200.0,5
352.75,200.0,6
282.29,100.0,8
344.39,100.0,9
328.99,200.0,3
213.98,200.0,4
333.51,40.0,37
32.67,100.0,16
66.02,100.0,15
14.80,200.0,3
112.28,200.0,6
136.74,200.0,9
97.84,40.0,40
305.68,40.0,40
121.18,200.0,4
95.21,100.0,16
191.38,40.0,38
45.39,100.0,19
289.10,40.0,39
23.55,200.0,6
352.87,100.0,12
278.96,100.0,5
65.34,100.0,13
356.42,200.0,8
293.18,40.0,40
258.88,40.0,39
262.28,100.0,6
279.84,40.0,35
26.80,100.0,17
120.18,100.0,10
43.50,200.0,11
317.86,200.0,5
214.89,200.0,2
112.18,200.0,4
24.79,200.0,12
110.45,200.0,7
110.67,200.0,5
264.13,200.0,2
221.67,100.0,3
328.91,40.0,40
160.32,100.0,13
45.43,100.0,9
257.50,200.0,3
277.08,200.0,2
195.13,200.0,10
277.31,200.0,4
167.77,100.0,7
178.20,200.0,3
143.86,200.0,3
10.80,200.0,6
35.50,100.0,8
5.58,200.0,8
228.69,200.0,4
110.84,200.0,13
180.28,100.0,14
334.95,200.0,5
81.74,200.0,5
139.96,200.0,2
276.58,100.0,9
79.96,200.0,5
22.54,100.0,18
102.16,100.0,16
52.24,100.0,17
334.24,100.0,10
295.37,100.0,6
223.93,200.0,1
318.80,200.0,5
288.91,200.0,1
67.77,100.0,9
323.66,40.0,31
183.30,200.0,4
298.89,40.0,39
331.56,40.0,37
112.62,100.0,8
40.10,200.0,11
79.55,100.0,14
147.51,100.0,14
294.87,40.0,39
313.08,200.0,9
0.73,100.0,11
174.60,100.0,9
146.23,40.0,38
75.96,100.0,14
36.81,100.0,11
113.20,40.0,38
342.83,100.0,10
106.76,40.0,37
183.51,100.0,7
251.95,100.0,5
124.81,40.0,40
350.92,100.0,12
350.25,100.0,12
84.48,100.0,17
173.78,100.0,12
103.66,100.0,11
94.67,200.0,8
15.79,200.0,6
216.97,100.0,6
175.58,100.0,11
20.51,200.0,7
98.67,200.0,5
333.08,40.0,32
85.37,100.0,13
50.97,200.0,11
170.80,200.0,2
356.19,40.0,38
85.53,40.0,40
235.59,100.0,2
280.81,40.0,39
84.72,200.0,6
258.29,40.0,40
129.26,100.0,19
219.29,100.0,1
221.35,200.0,2
188.44,100.0,11
27.61,40.0,40
308.18,100.0,12
113.32,100.0,6
64.07,100.0,8
9.06,40.0,39
204.87,40.0,40
242.17,100.0,7
9.81,200.0,5
178.32,200.0,5
74.60,200.0,10
229.34,100.0,3
60.40,40.0,38
249.80,100.0,2
129.07,100.0,9
341.61,200.0,1
47.41,100.0,13
121.63,100.0,8
37.42,40.0,40
337.33,40.0,33
324.32,200.0,6
84.03,200.0,3
238.37,100.0,2
299.88,200.0,4
188.68,200.0,2
182.01,100.0,6
85.08,40.0,39
27.67,40.0,39
327.82,100.0,10
326.46,100.0,10
224.21,100.0,8
111.46,100.0,15
123.72,40.0,39
266.73,100.0,1
331.69,100.0,9
326.50,40.0,39
280.30,100.0,6
229.58,40.0,38
24.25,40.0,37
50.22,200.0,5
325.24,200.0,8
212.89,40.0,39
5.70,40.0,40
36.83,40.0,36
234.46,200.0,2
358.74,200.0,5
59.97,100.0,13
190.26,100.0,7
246.51,200.0,1
227.64,40.0,37
79.95,40.0,39
257.94,100.0,4
78.21,100.0,18
106.82,200.0,6
271.80,200.0,4
231.55,40.0,39
307.73,200.0,3
237.51,100.0,3
194.51,100.0,14
31.32,100.0,11
130.44,100.0,16
90.20,40.0,38
84.39,200.0,9
348.98,200.0,9
132.74,100.0,14
329.84,200.0,5
221.09,200.0,3
293.94,100.0,3
171.30,100.0,10
198.13,200.0,4
165.31,200.0,4
68.52,100.0,6
258.69,200.0,2
99.64,100.0,15
7.73,100.0,11
232.68,100.0,5
57.86,40.0,33
343.69,200.0,4
346.77,200.0,7
335.71,40.0,34
130.45,100.0,12
7.61,100.0,10
338.26,40.0,35
143.31,200.0,8
343.33,200.0,8
351.21,200.0,9
313.17,40.0,40
103.97,40.0,39
131.82,200.0,3
307.17,100.0,9
104.25,200.0,8
59.86,100.0,13
193.30,100.0,7
336.01,100.0,9
248.92,100.0,5
194.64,100.0,7
33.82,100.0,15
213.69,100.0,8
358.98,100.0,15
46.10,100.0,11
179.55,40.0,39
315.12,200.0,6
263.72,100.0,5
247.92,200.0,5
251.80,100.0,1
124.00,200.0,3
97.92,200.0,8
296.95,200.0,4
299.60,40.0,39
319.80,100.0,5
327.40,100.0,11
176.81,100.0,14
170.05,40.0,6
288.42,100.0,10
234.87,100.0,1
248.42,40.0,37
289.99,100.0,13
326.18,40.0,37
118.02,40.0,40
129.60,100.0,10
27.10,100.0,13
200.26,100.0,9
12.18,100.0,12
156.88,40.0,38
187.51,40.0,37
93.33,100.0,14
202.79,40.0,40
8.97,100.0,15
8.33,200.0,9
300.68,200.0,4
124.89,200.0,9
46.01,200.0,7
178.00,100.0,12
276.67,100.0,6
70.05,100.0,10
220.36,100.0,9
31.06,100.0,13
12.32,200.0,8
188.36,200.0,6
183.52,100.0,7
225.41,100.0,2
264.09,100.0,2
354.71,200.0,7
181.14,100.0,9
113.02,200.0,10
288.39,100.0,6
96.15,40.0,35
146.80,200.0,4
30.95,40.0,39
8.48,200.0,6
350.17,200.0,1
304.52,200.0,5
250.44,100.0,4
141.26,40.0,39
61.32,200.0,6
48.82,200.0,10
80.60,200.0,13
188.47,100.0,11
253.60,100.0,4
237.72,100.0,4
93.19,40.0,39
349.76,40.0,37
265.37,100.0,2
189.82,100.0,9
217.90,40.0,40
145.59,200.0,7
84.98,40.0,39
122.55,100.0,13
277.19,100.0,7
1.28,200.0,13
44.96,40.0,37
19.75,200.0,9
15.50,40.0,39
310.00,40.0,37
253.80,200.0,2
159.72,100.0,6
28.31,200.0,6
167.58,100.0,11
162.63,200.0,10
62.68,200.0,5
151.27,200.0,8
139.43,100.0,12
215.25,200.0,3
222.46,100.0,3
13.71,200.0,4
133.88,40.0,35
215.40,200.0,2
177.67,200.0,1
313.79,100.0,9
