angle,force,duration
124.85,100.0,5
342.42,100.0,2
262.73,40.0,11
209.32,100.0,7
54.07,40.0,35
52.59,40.0,35
20.92,100.0,9
313.49,100.0,4
205.50,100.0,5
248.89,200.0,2
4.21,40.0,20
353.88,100.0,1
301.44,100.0,7
65.39,200.0,3
62.06,40.0,30
64.25,100.0,10
99.81,200.0,3
180.68,200.0,4
152.15,100.0,7
94.34,40.0,23
213.97,100.0,6
42.97,200.0,4
103.24,100.0,8
129.71,100.0,8
160.44,200.0,6
278.74,100.0,5
69.62,40.0,37
180.45,40.0,15
203.19,40.0,26
18.29,100.0,16
206.37,40.0,7
56.96,40.0,33
18.30,200.0,3
337.21,200.0,1
342.77,200.0,3
289.96,100.0,3
101.40,200.0,10
34.25,40.0,34
235.65,40.0,14
149.15,100.0,3
40.39,40.0,32
172.91,100.0,6
9.19,100.0,16
327.26,200.0,7
90.86,100.0,10
232.16,200.0,4
103.33,100.0,5
174.24,40.0,16
191.70,100.0,7
56.21,40.0,31
352.75,40.0,22
275.29,200.0,1
342.39,40.0,21
323.99,100.0,3
211.98,100.0,1
329.51,100.0,8
31.67,40.0,35
64.02,40.0,28
14.80,40.0,34
112.28,40.0,24
136.74,100.0,4
96.84,40.0,21
298.68,40.0,15
121.18,40.0,24
94.21,100.0,8
189.38,40.0,17
43.39,40.0,36
282.10,40.0,12
22.55,200.0,4
352.87,100.0,3
271.96,100.0,7
62.34,200.0,9
356.42,200.0,5
286.18,40.0,14
253.88,40.0,12
257.28,40.0,6
272.84,40.0,15
25.80,100.0,13
119.18,200.0,4
42.50,40.0,32
311.86,40.0,21
211.89,200.0,5
112.18,40.0,23
24.79,40.0,34
110.45,40.0,23
110.67,40.0,23
259.13,40.0,12
218.67,40.0,20
322.91,100.0,5
159.32,100.0,6
43.43,40.0,38
252.50,200.0,2
271.08,40.0,15
193.13,200.0,3
271.31,40.0,13
166.77,40.0,13
177.20,40.0,14
143.86,40.0,15
10.80,100.0,14
33.50,100.0,10
5.58,200.0,1
225.69,200.0,4
110.84,100.0,4
179.28,40.0,16
330.95,40.0,20
80.74,40.0,24
139.96,40.0,17
270.58,40.0,14
77.96,200.0,2
21.54,100.0,12
101.16,100.0,13
49.24,200.0,11
331.24,100.0,6
288.37,40.0,19
220.93,200.0,1
312.80,100.0,4
281.91,100.0,7
64.77,100.0,13
317.66,100.0,6
182.30,40.0,9
291.89,40.0,12
325.56,200.0,6
111.62,100.0,13
39.10,40.0,34
77.55,100.0,7
146.51,200.0,4
287.87,40.0,13
307.08,100.0,3
0.73,100.0,3
172.60,200.0,7
145.23,100.0,5
73.96,100.0,5
34.81,100.0,7
112.20,100.0,7
340.83,100.0,4
105.76,100.0,6
181.51,200.0,2
246.95,200.0,2
123.81,100.0,10
350.92,40.0,17
349.25,100.0,9
83.48,40.0,21
172.78,40.0,18
102.66,100.0,10
93.67,200.0,6
15.79,100.0,9
213.97,200.0,1
174.58,40.0,15
20.51,40.0,38
97.67,200.0,1
328.08,100.0,5
83.37,100.0,12
48.97,100.0,10
169.80,100.0,6
355.19,200.0,7
83.53,100.0,9
231.59,100.0,5
273.81,100.0,5
83.72,40.0,18
252.29,100.0,8
129.26,40.0,21
216.29,40.0,23
218.35,200.0,2
186.44,200.0,1
25.61,200.0,6
301.18,200.0,1
112.32,100.0,10
61.07,100.0,12
8.06,200.0,4
201.87,200.0,1
238.17,200.0,1
9.81,100.0,14
177.32,100.0,3
72.60,200.0,11
226.34,40.0,13
57.40,100.0,7
245.80,40.0,4
128.07,200.0,2
339.61,40.0,20
45.41,40.0,33
120.63,200.0,2
35.42,40.0,39
333.33,200.0,1
318.32,200.0,2
83.03,40.0,28
234.37,200.0,5
292.88,200.0,3
186.68,100.0,8
180.01,100.0,6
83.08,100.0,8
25.67,200.0,3
322.82,100.0,1
321.46,100.0,5
221.21,100.0,6
111.46,40.0,19
122.72,100.0,8
260.73,200.0,2
326.69,40.0,21
320.50,100.0,4
273.30,100.0,5
226.58,40.0,9
22.25,200.0,6
48.22,40.0,32
320.24,200.0,4
209.89,100.0,5
5.70,40.0,22
34.83,100.0,9
231.46,40.0,13
358.74,200.0,1
56.97,200.0,4
188.26,40.0,26
242.51,40.0,15
223.64,200.0,3
77.95,40.0,31
252.94,100.0,1
76.21,200.0,3
106.82,40.0,25
265.80,200.0,2
227.55,200.0,6
301.73,40.0,12
234.51,40.0,7
192.51,100.0,2
29.32,200.0,8
130.44,40.0,20
88.20,200.0,4
83.39,40.0,32
348.98,100.0,4
132.74,40.0,15
324.84,100.0,2
218.09,200.0,4
286.94,40.0,16
170.30,40.0,15
196.13,100.0,5
164.31,100.0,7
65.52,200.0,1
253.69,100.0,2
98.64,100.0,7
7.73,40.0,34
229.68,40.0,16
54.86,100.0,6
341.69,100.0,6
345.77,100.0,6
331.71,40.0,13
129.45,200.0,7
7.61,40.0,32
335.26,40.0,16
143.31,40.0,22
343.33,40.0,21
351.21,40.0,19
306.17,100.0,4
102.97,100.0,2
131.82,40.0,22
300.17,200.0,2
104.25,40.0,26
56.86,200.0,3
191.30,40.0,22
334.01,40.0,15
244.92,40.0,5
192.64,40.0,17
32.82,40.0,30
210.69,200.0,2
358.98,100.0,6
43.10,200.0,10
177.55,100.0,7
309.12,200.0,3
257.72,100.0,4
243.92,40.0,16
246.80,100.0,3
124.00,40.0,23
97.92,40.0,20
289.95,200.0,3
292.60,40.0,13
312.80,200.0,4
323.40,100.0,2
175.81,40.0,15
168.05,200.0,1
281.42,100.0,5
231.87,40.0,9
