direction_angle,force,duration,survived,mean_len
0.0,40.0,1,1,600
0.0,40.0,2,1,600
0.0,40.0,3,1,600
0.0,40.0,4,1,600
0.0,40.0,5,1,600
0.0,40.0,6,1,600
0.0,40.0,7,1,600
0.0,40.0,8,1,600
0.0,40.0,9,1,600
0.0,40.0,10,1,600
0.0,40.0,11,1,600
0.0,40.0,12,1,600
0.0,40.0,13,1,600
0.0,40.0,14,1,600
0.0,40.0,15,1,600
0.0,40.0,16,1,600
0.0,40.0,17,1,600
0.0,40.0,18,1,600
0.0,40.0,19,1,600
0.0,40.0,20,1,600
0.0,40.0,21,1,600
0.0,40.0,22,1,600
0.0,40.0,23,1,600
0.0,40.0,24,1,600
0.0,40.0,25,0,497
0.0,40.0,26,1,600
0.0,40.0,27,0,351
0.0,40.0,28,0,600
0.0,40.0,29,0,600
0.0,40.0,30,1,600
0.0,40.0,31,0,522
0.0,40.0,32,1,600
0.0,40.0,33,1,600
0.0,40.0,34,1,600
0.0,40.0,35,1,600
0.0,40.0,36,1,600
0.0,40.0,37,1,600
0.0,40.0,38,0,600
0.0,40.0,39,0,600
0.0,40.0,40,0,89
0.0,100.0,1,1,600
0.0,100.0,2,1,600
0.0,100.0,3,1,600
0.0,100.0,4,1,600
0.0,100.0,5,1,600
0.0,100.0,6,1,600
0.0,100.0,7,0,600
0.0,100.0,8,0,600
0.0,100.0,9,1,600
0.0,100.0,10,1,600
0.0,100.0,11,1,600
0.0,100.0,12,0,32
0.0,100.0,13,0,26
0.0,100.0,14,0,50
0.0,100.0,15,0,19
0.0,100.0,16,0,22
0.0,100.0,17,0,600
0.0,100.0,18,0,16
0.0,100.0,19,0,600
0.0,100.0,20,0,15
0.0,100.0,21,0,18
0.0,100.0,22,0,62
0.0,100.0,23,0,600
0.0,100.0,24,0,91
0.0,100.0,25,0,600
0.0,100.0,26,0,44
0.0,100.0,27,0,600
0.0,100.0,28,0,74
0.0,100.0,29,0,90
0.0,100.0,30,0,93
0.0,100.0,31,0,74
0.0,100.0,32,0,463
0.0,100.0,33,0,600
0.0,100.0,34,0,526
0.0,100.0,35,0,73
0.0,100.0,36,0,600
0.0,100.0,37,0,600
0.0,100.0,38,0,50
0.0,100.0,39,0,34
0.0,100.0,40,0,600
0.0,200.0,1,1,600
0.0,200.0,2,1,600
0.0,200.0,3,1,600
0.0,200.0,4,0,31
0.0,200.0,5,0,32
0.0,200.0,6,0,24
0.0,200.0,7,0,600
0.0,200.0,8,0,112
0.0,200.0,9,0,22
0.0,200.0,10,0,20
0.0,200.0,11,0,398
0.0,200.0,12,0,31
0.0,200.0,13,0,15
0.0,200.0,14,0,42
