angle,force,duration
130.85,40.0,33
343.42,200.0,11
263.73,200.0,5
213.32,200.0,2
54.07,200.0,5
52.59,200.0,4
19.92,100.0,9
317.49,40.0,38
209.50,100.0,13
250.89,200.0,2
3.21,100.0,12
354.88,40.0,31
304.44,100.0,4
67.39,200.0,6
63.06,100.0,9
65.25,200.0,9
104.81,200.0,1
183.68,200.0,4
157.15,40.0,24
98.34,100.0,15
217.97,200.0,1
42.97,100.0,14
107.24,200.0,6
135.71,100.0,9
165.44,40.0,25
280.74,40.0,23
71.62,40.0,37
183.45,40.0,30
207.19,100.0,4
17.29,200.0,5
210.37,40.0,25
57.96,40.0,39
17.30,100.0,15
339.21,100.0,4
343.77,200.0,4
291.96,100.0,4
106.40,200.0,4
33.25,40.0,26
237.65,100.0,8
153.15,200.0,2
39.39,100.0,6
176.91,40.0,22
9.19,40.0,26
331.26,40.0,35
93.86,200.0,4
235.16,100.0,8
108.33,100.0,16
177.24,40.0,26
194.70,100.0,7
57.21,100.0,12
353.75,40.0,28
277.29,40.0,25
344.39,40.0,34
327.99,40.0,27
215.98,100.0,6
332.51,100.0,7
30.67,40.0,26
65.02,200.0,2
13.80,100.0,8
117.28,200.0,5
141.74,200.0,2
99.84,200.0,3
300.68,200.0,4
127.18,40.0,35
98.21,100.0,14
192.38,40.0,21
43.39,40.0,39
283.10,200.0,3
21.55,100.0,12
352.87,200.0,2
273.96,40.0,22
64.34,200.0,3
356.42,200.0,3
288.18,100.0,3
255.88,40.0,25
258.28,200.0,2
273.84,100.0,8
24.80,100.0,9
125.18,200.0,3
41.50,40.0,36
314.86,200.0,4
215.89,200.0,4
117.18,200.0,8
23.79,40.0,31
115.45,100.0,9
115.67,200.0,4
261.13,40.0,18
221.67,200.0,4
326.91,100.0,1
163.32,100.0,6
42.43,100.0,9
254.50,200.0,2
272.08,100.0,8
196.13,200.0,6
272.31,100.0,5
169.77,100.0,10
180.20,40.0,23
147.86,100.0,9
10.80,40.0,31
32.50,100.0,9
5.58,40.0,29
229.69,100.0,3
115.84,200.0,1
182.28,100.0,6
333.95,100.0,10
83.74,40.0,39
143.96,200.0,5
271.58,200.0,1
80.96,40.0,40
20.54,100.0,6
105.16,200.0,9
50.24,200.0,2
334.24,40.0,26
290.37,100.0,1
224.93,100.0,2
316.80,40.0,40
283.91,100.0,5
66.77,40.0,39
321.66,40.0,40
184.30,200.0,4
292.89,200.0,8
329.56,100.0,8
117.62,40.0,37
38.10,40.0,34
79.55,200.0,5
151.51,100.0,5
289.87,100.0,5
310.08,200.0,5
0.73,40.0,33
176.60,40.0,24
150.23,40.0,30
75.96,100.0,17
33.81,100.0,11
118.20,100.0,10
342.83,100.0,5
111.76,40.0,36
184.51,200.0,4
248.95,200.0,3
129.81,100.0,11
350.92,200.0,4
350.25,200.0,3
86.48,40.0,38
175.78,200.0,3
107.66,100.0,10
98.67,40.0,37
14.79,200.0,5
217.97,200.0,4
177.58,100.0,8
19.51,100.0,7
101.67,100.0,18
331.08,200.0,5
86.37,100.0,11
48.97,100.0,14
173.80,40.0,26
356.19,40.0,38
86.53,100.0,10
234.59,40.0,23
275.81,40.0,21
85.72,100.0,16
254.29,100.0,3
134.26,200.0,6
220.29,40.0,22
222.35,100.0,3
189.44,100.0,9
24.61,100.0,13
304.18,100.0,7
118.32,40.0,39
63.07,40.0,38
8.06,40.0,27
205.87,200.0,2
241.17,40.0,22
9.81,100.0,1
180.32,100.0,10
75.60,100.0,9
229.34,100.0,4
58.40,100.0,14
247.80,40.0,22
134.07,40.0,32
341.61,100.0,5
44.41,200.0,8
126.63,200.0,1
34.42,100.0,6
336.33,100.0,6
322.32,100.0,7
86.03,100.0,14
237.37,200.0,2
295.88,40.0,37
189.68,100.0,10
183.01,100.0,6
86.08,100.0,3
24.67,100.0,10
325.82,200.0,7
325.46,40.0,27
225.21,40.0,29
116.46,200.0,7
128.72,100.0,13
262.73,100.0,5
329.69,200.0,6
324.50,40.0,39
274.30,200.0,8
229.58,100.0,2
21.25,100.0,14
48.22,200.0,6
324.24,100.0,5
213.89,100.0,13
4.70,200.0,8
33.83,40.0,40
234.46,40.0,19
358.74,100.0,12
57.97,100.0,12
191.26,40.0,38
244.51,100.0,4
226.64,200.0,5
79.95,100.0,12
