direction_angle,force,duration,survived,mean_len
0.0,40.0,1,1,600
0.0,40.0,2,1,600
0.0,40.0,3,1,600
0.0,40.0,4,1,600
0.0,40.0,5,1,600
0.0,40.0,6,1,600
0.0,40.0,7,1,600
0.0,40.0,8,1,600
0.0,40.0,9,1,600
0.0,40.0,10,1,600
0.0,40.0,11,1,600
0.0,40.0,12,1,600
0.0,40.0,13,1,600
0.0,40.0,14,1,600
0.0,40.0,15,1,600
0.0,40.0,16,1,600
0.0,40.0,17,1,600
0.0,40.0,18,1,600
0.0,40.0,19,1,600
0.0,40.0,20,1,600
0.0,40.0,21,1,600
0.0,40.0,22,1,600
0.0,40.0,23,1,600
0.0,40.0,24,1,600
0.0,40.0,25,1,600
0.0,40.0,26,1,600
0.0,40.0,27,1,600
0.0,40.0,28,0,600
0.0,40.0,29,1,600
0.0,40.0,30,1,600
0.0,40.0,31,1,600
0.0,40.0,32,1,600
0.0,40.0,33,1,600
0.0,40.0,34,1,600
0.0,40.0,35,1,600
0.0,40.0,36,0,600
0.0,40.0,37,1,600
0.0,40.0,38,1,600
0.0,40.0,39,1,600
0.0,40.0,40,1,600
0.0,100.0,1,1,600
0.0,100.0,2,1,600
0.0,100.0,3,1,600
0.0,100.0,4,1,600
0.0,100.0,5,1,600
0.0,100.0,6,1,600
0.0,100.0,7,1,600
0.0,100.0,8,1,600
0.0,100.0,9,1,600
0.0,100.0,10,1,600
0.0,100.0,11,1,600
0.0,100.0,12,0,35
0.0,100.0,13,0,49
0.0,100.0,14,0,600
0.0,100.0,15,1,600
0.0,100.0,16,0,600
0.0,100.0,17,0,17
0.0,100.0,18,0,16
0.0,100.0,19,0,64
0.0,100.0,20,0,63
0.0,100.0,21,0,53
0.0,100.0,22,0,22
0.0,100.0,23,0,20
0.0,100.0,24,0,19
0.0,100.0,25,0,600
0.0,100.0,26,1,600
0.0,100.0,27,0,600
0.0,100.0,28,0,132
0.0,100.0,29,0,600
0.0,100.0,30,0,35
0.0,100.0,31,1,600
0.0,100.0,32,0,600
0.0,100.0,33,0,30
0.0,100.0,34,0,600
0.0,100.0,35,0,250
0.0,100.0,36,1,600
0.0,100.0,37,0,600
0.0,100.0,38,0,600
0.0,100.0,39,0,600
0.0,100.0,40,1,600
0.0,200.0,1,1,600
0.0,200.0,2,1,600
0.0,200.0,3,1,600
0.0,200.0,4,1,600
0.0,200.0,5,1,600
0.0,200.0,6,1,600
0.0,200.0,7,0,37
0.0,200.0,8,0,45
0.0,200.0,9,0,23
0.0,200.0,10,0,17
0.0,200.0,11,0,31
0.0,200.0,12,0,13
0.0,200.0,13,0,600
0.0,200.0,14,0,439
