direction_angle,force,duration,survived,mean_len
0.0,40.0,1,0,561
0.0,40.0,2,1,600
0.0,40.0,3,1,600
0.0,40.0,4,1,600
0.0,40.0,5,1,600
0.0,40.0,6,1,600
0.0,40.0,7,1,600
0.0,40.0,8,1,600
0.0,40.0,9,1,600
0.0,40.0,10,1,600
0.0,40.0,11,1,600
0.0,40.0,12,1,600
0.0,40.0,13,1,600
0.0,40.0,14,1,600
0.0,40.0,15,0,600
0.0,40.0,16,0,451
0.0,40.0,17,1,600
0.0,40.0,18,1,600
0.0,40.0,19,1,600
0.0,40.0,20,1,600
0.0,40.0,21,1,600
0.0,40.0,22,1,600
0.0,40.0,23,0,600
0.0,40.0,24,1,600
0.0,40.0,25,0,43
0.0,40.0,26,0,600
0.0,40.0,27,0,600
0.0,40.0,28,1,600
0.0,40.0,29,1,600
0.0,40.0,30,1,600
0.0,40.0,31,0,600
0.0,40.0,32,0,385
0.0,40.0,33,1,600
0.0,40.0,34,0,44
0.0,40.0,35,0,600
0.0,40.0,36,0,46
0.0,40.0,37,1,600
0.0,40.0,38,0,600
0.0,40.0,39,1,600
0.0,40.0,40,0,600
0.0,100.0,1,1,600
0.0,100.0,2,1,600
0.0,100.0,3,1,600
0.0,100.0,4,1,600
0.0,100.0,5,1,600
0.0,100.0,6,1,600
0.0,100.0,7,0,230
0.0,100.0,8,1,600
0.0,100.0,9,0,600
0.0,100.0,10,1,600
0.0,100.0,11,0,55
0.0,100.0,12,0,33
0.0,100.0,13,0,36
0.0,100.0,14,0,22
0.0,100.0,15,0,45
0.0,100.0,16,1,600
0.0,100.0,17,0,15
0.0,100.0,18,0,15
0.0,100.0,19,0,15
0.0,100.0,20,0,66
0.0,100.0,21,1,600
0.0,100.0,22,0,21
0.0,100.0,23,0,600
0.0,100.0,24,0,19
0.0,100.0,25,0,166
0.0,100.0,26,0,600
0.0,100.0,27,0,34
0.0,100.0,28,0,600
0.0,100.0,29,1,600
0.0,100.0,30,0,167
0.0,100.0,31,0,600
0.0,100.0,32,0,600
0.0,100.0,33,0,600
0.0,100.0,34,0,371
0.0,100.0,35,0,230
0.0,100.0,36,0,600
0.0,100.0,37,0,82
0.0,100.0,38,0,600
0.0,100.0,39,0,600
0.0,100.0,40,0,407
0.0,200.0,1,1,600
0.0,200.0,2,1,600
0.0,200.0,3,1,600
0.0,200.0,4,0,600
0.0,200.0,5,1,600
0.0,200.0,6,1,600
0.0,200.0,7,0,35
0.0,200.0,8,0,309
0.0,200.0,9,0,28
0.0,200.0,10,0,20
0.0,200.0,11,0,30
0.0,200.0,12,0,460
0.0,200.0,13,0,21
0.0,200.0,14,0,252
0.0,200.0,15,0,600
0.0,200.0,16,0,28
0.0,200.0,17,0,43
0.0,200.0,18,0,600
0.0,200.0,19,0,175
0.0,200.0,20,0,600
0.0,200.0,21,0,92
0.0,200.0,22,0,600
0.0,200.0,23,0,600
0.0,200.0,24,0,600
0.0,200.0,25,0,286
0.0,200.0,26,0,600
0.0,200.0,27,0,600
0.0,200.0,28,0,94
0.0,200.0,29,0,600
0.0,200.0,30,0,600
0.0,200.0,31,0,52
0.0,200.0,32,0,600
0.0,200.0,33,0,255
0.0,200.0,34,0,600
0.0,200.0,35,0,109
0.0,200.0,36,0,46
0.0,200.0,37,0,300
0.0,200.0,38,0,600
0.0,200.0,39,0,46
0.0,200.0,40,0,600
22.5,40.0,1,1,600
22.5,40.0,2,1,600
22.5,40.0,3,1,600
22.5,40.0,4,1,600
22.5,40.0,5,1,600
22.5,40.0,6,1,600
22.5,40.0,7,1,600
22.5,40.0,8,1,600
22.5,40.0,9,1,600
22.5,40.0,10,1,600
22.5,40.0,11,1,600
22.5,40.0,12,0,88
22.5,40.0,13,1,600
22.5,40.0,14,0,600
22.5,40.0,15,1,600
22.5,40.0,16,1,600
22.5,40.0,17,0,600
22.5,40.0,18,1,600
22.5,40.0,19,1,600
22.5,40.0,20,1,600
22.5,40.0,21,1,600
22.5,40.0,22,1,600
22.5,40.0,23,0,498
22.5,40.0,24,0,64
22.5,40.0,25,1,600
22.5,40.0,26,1,600
22.5,40.0,27,1,600
22.5,40.0,28,0,567
22.5,40.0,29,1,600
22.5,40.0,30,1,600
22.5,40.0,31,0,600
22.5,40.0,32,1,600
22.5,40.0,33,1,600
22.5,40.0,34,1,600
22.5,40.0,35,1,600
22.5,40.0,36,0,600
22.5,40.0,37,1,600
22.5,40.0,38,1,600
22.5,40.0,39,1,600
22.5,40.0,40,1,600
22.5,100.0,1,1,600
22.5,100.0,2,1,600
22.5,100.0,3,1,600
22.5,100.0,4,1,600
22.5,100.0,5,1,600
22.5,100.0,6,1,600
22.5,100.0,7,1,600
22.5,100.0,8,0,600
22.5,100.0,9,1,600
22.5,100.0,10,0,564
22.5,100.0,11,0,600
22.5,100.0,12,1,600
22.5,100.0,13,0,600
22.5,100.0,14,0,600
22.5,100.0,15,0,600
22.5,100.0,16,0,600
22.5,100.0,17,0,600
22.5,100.0,18,0,600
22.5,100.0,19,0,600
22.5,100.0,20,0,600
22.5,100.0,21,0,593
22.5,100.0,22,0,600
22.5,100.0,23,0,600
22.5,100.0,24,0,600
22.5,100.0,25,0,600
22.5,100.0,26,0,600
22.5,100.0,27,0,600
22.5,100.0,28,0,600
22.5,100.0,29,0,600
22.5,100.0,30,0,600
22.5,100.0,31,0,600
22.5,100.0,32,0,600
22.5,100.0,33,0,600
22.5,100.0,34,0,600
22.5,100.0,35,0,600
22.5,100.0,36,0,600
22.5,100.0,37,0,600
22.5,100.0,38,0,600
22.5,100.0,39,0,67
22.5,100.0,40,0,600
22.5,200.0,1,1,600
22.5,200.0,2,1,600
22.5,200.0,3,1,600
22.5,200.0,4,0,600
22.5,200.0,5,1,600
22.5,200.0,6,0,600
22.5,200.0,7,0,600
22.5,200.0,8,0,600
22.5,200.0,9,0,600
22.5,200.0,10,0,600
22.5,200.0,11,0,600
22.5,200.0,12,0,600
22.5,200.0,13,0,43
22.5,200.0,14,0,600
22.5,200.0,15,0,600
22.5,200.0,16,0,29
22.5,200.0,17,0,600
22.5,200.0,18,0,600
22.5,200.0,19,0,600
22.5,200.0,20,0,600
22.5,200.0,21,0,448
22.5,200.0,22,0,600
22.5,200.0,23,0,600
22.5,200.0,24,0,600
22.5,200.0,25,0,600
22.5,200.0,26,0,600
22.5,200.0,27,0,600
22.5,200.0,28,0,600
22.5,200.0,29,0,600
22.5,200.0,30,0,600
22.5,200.0,31,0,600
22.5,200.0,32,0,600
22.5,200.0,33,0,600
22.5,200.0,34,0,600
22.5,200.0,35,0,600
22.5,200.0,36,0,600
22.5,200.0,37,0,600
22.5,200.0,38,0,600
22.5,200.0,39,0,600
22.5,200.0,40,0,600
45.0,40.0,1,1,600
45.0,40.0,2,1,600
45.0,40.0,3,1,600
45.0,40.0,4,1,600
45.0,40.0,5,1,600
45.0,40.0,6,1,600
45.0,40.0,7,1,600
45.0,40.0,8,1,600
45.0,40.0,9,1,600
45.0,40.0,10,1,600
45.0,40.0,11,1,600
45.0,40.0,12,1,600
45.0,40.0,13,1,600
45.0,40.0,14,0,600
45.0,40.0,15,1,600
45.0,40.0,16,0,600
45.0,40.0,17,1,600
45.0,40.0,18,1,600
45.0,40.0,19,1,600
45.0,40.0,20,1,600
45.0,40.0,21,1,600
45.0,40.0,22,1,600
45.0,40.0,23,1,600
45.0,40.0,24,1,600
45.0,40.0,25,1,600
45.0,40.0,26,1,600
45.0,40.0,27,1,600
45.0,40.0,28,1,600
45.0,40.0,29,1,600
45.0,40.0,30,0,541
45.0,40.0,31,1,600
45.0,40.0,32,1,600
45.0,40.0,33,1,600
45.0,40.0,34,1,600
45.0,40.0,35,1,600
45.0,40.0,36,0,600
45.0,40.0,37,1,600
45.0,40.0,38,1,600
45.0,40.0,39,1,600
45.0,40.0,40,1,600
45.0,100.0,1,0,387
45.0,100.0,2,1,600
45.0,100.0,3,1,600
45.0,100.0,4,1,600
45.0,100.0,5,1,600
45.0,100.0,6,1,600
45.0,100.0,7,1,600
45.0,100.0,8,1,600
45.0,100.0,9,0,524
45.0,100.0,10,0,600
45.0,100.0,11,1,600
45.0,100.0,12,0,600
45.0,100.0,13,0,600
45.0,100.0,14,0,600
45.0,100.0,15,0,600
45.0,100.0,16,0,600
45.0,100.0,17,0,600
45.0,100.0,18,0,600
45.0,100.0,19,0,600
45.0,100.0,20,0,45
45.0,100.0,21,0,600
45.0,100.0,22,0,600
45.0,100.0,23,0,600
45.0,100.0,24,0,546
45.0,100.0,25,0,600
45.0,100.0,26,0,600
45.0,100.0,27,0,600
45.0,100.0,28,0,600
45.0,100.0,29,0,600
45.0,100.0,30,0,600
45.0,100.0,31,0,600
45.0,100.0,32,0,600
45.0,100.0,33,0,600
45.0,100.0,34,0,600
45.0,100.0,35,0,600
45.0,100.0,36,0,600
45.0,100.0,37,0,600
45.0,100.0,38,0,600
45.0,100.0,39,0,600
45.0,100.0,40,0,600
45.0,200.0,1,1,600
45.0,200.0,2,1,600
45.0,200.0,3,1,600
45.0,200.0,4,0,43
45.0,200.0,5,1,600
45.0,200.0,6,1,600
45.0,200.0,7,0,600
45.0,200.0,8,0,600
45.0,200.0,9,0,600
45.0,200.0,10,0,600
45.0,200.0,11,0,269
45.0,200.0,12,0,600
45.0,200.0,13,0,600
45.0,200.0,14,0,600
45.0,200.0,15,0,600
45.0,200.0,16,0,36
45.0,200.0,17,0,600
45.0,200.0,18,0,600
45.0,200.0,19,0,600
45.0,200.0,20,0,600
45.0,200.0,21,0,600
45.0,200.0,22,0,600
45.0,200.0,23,0,600
45.0,200.0,24,0,600
45.0,200.0,25,0,600
45.0,200.0,26,0,600
45.0,200.0,27,0,600
